country,gender,age,count
India,Female,0 to 04,5795
India,Female,05 to 09,11230
India,Female,10 to 15,13620
India,Female,16 to 19,10010
India,Female,20 to 24,19570
India,Female,25 to 29,32455
India,Female,30 to 34,53250
India,Female,35 to 39,60600
India,Female,40 to 44,51535
India,Female,45 to 49,36540
India,Female,50 to 54,26405
India,Female,55 to 59,27595
India,Female,60 to 64,26490
India,Female,65 to 69,24945
India,Female,70 to 74,21820
India,Female,75 to 79,17975
India,Female,80 to 84,13710
India,Female,85 and over,12110
India,Male,0 to 04,5805
India,Male,05 to 09,11375
India,Male,10 to 15,14715
India,Male,16 to 19,11255
India,Male,20 to 24,26125
India,Male,25 to 29,28535
India,Male,30 to 34,43615
India,Male,35 to 39,58060
India,Male,40 to 44,55780
India,Male,45 to 49,42835
India,Male,50 to 54,28605
India,Male,55 to 59,25055
India,Male,60 to 64,24770
India,Male,65 to 69,23640
India,Male,70 to 74,17975
India,Male,75 to 79,14865
India,Male,80 to 84,12310
India,Male,85 and over,9375
Poland,Female,0 to 04,1545
Poland,Female,05 to 09,5240
Poland,Female,10 to 15,14930
Poland,Female,16 to 19,15190
Poland,Female,20 to 24,26595
Poland,Female,25 to 29,41295
Poland,Female,30 to 34,59725
Poland,Female,35 to 39,84425
Poland,Female,40 to 44,63330
Poland,Female,45 to 49,32305
Poland,Female,50 to 54,17590
Poland,Female,55 to 59,12715
Poland,Female,60 to 64,10895
Poland,Female,65 to 69,6460
Poland,Female,70 to 74,3605
Poland,Female,75 to 79,1610
Poland,Female,80 to 84,1615
Poland,Female,85 and over,2480
Poland,Male,0 to 04,1540
Poland,Male,05 to 09,5505
Poland,Male,10 to 15,15420
Poland,Male,16 to 19,15385
Poland,Male,20 to 24,21735
Poland,Male,25 to 29,30565
Poland,Male,30 to 34,44695
Poland,Male,35 to 39,68165
Poland,Male,40 to 44,59915
Poland,Male,45 to 49,33185
Poland,Male,50 to 54,17520
Poland,Male,55 to 59,11180
Poland,Male,60 to 64,8800
Poland,Male,65 to 69,4115
Poland,Male,70 to 74,1455
Poland,Male,75 to 79,515
Poland,Male,80 to 84,615
Poland,Male,85 and over,1230
Pakistan,Female,0 to 04,1700
